system,ic_index,ic,model,seed,vpt_steps,vpt_lyap,diverged,wasserstein
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",esn300,1,10,4.27029529159934,True,9.38004717927943
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",esn300,2,8,3.4162362332794727,False,0.022207809640940157
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",elm300,0,22,9.39464964151855,False,0.012712369656004141
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",elm300,1,19,8.113561054038747,False,0.020925541475188714
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",elm300,2,26,11.102767758158286,False,0.02468826723653039
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",qrc_rich,0,15,6.405442937399011,False,0.013652373311966667
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",qrc_rich,1,11,4.697324820759275,False,0.012999536982644621
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",qrc_rich,2,11,4.697324820759275,False,0.017893202850464696
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",ngrc,0,55,22.924747128345317,False,0.009477091238767141
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",esn300,0,4,1.667254336606932,False,0.014577259497423677
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",esn300,1,4,1.667254336606932,False,0.010678763538291605
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",esn300,2,4,1.667254336606932,False,0.012610722329501327
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",elm300,0,26,10.837153187945058,False,0.011541298913410537
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",elm300,1,26,10.837153187945058,False,0.008527872849429644
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",elm300,2,29,12.087593940400257,False,0.008479833458086821
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",qrc_rich,0,15,6.252203762275995,False,0.01262972851806679
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",qrc_rich,1,17,7.085830930579461,False,0.007427578353274957
henon,15,"{'x0': -0.003126564606495741, 'y0': -0.1514910467836015}",qrc_rich,2,16,6.669017346427728,False,0.005866293038418208
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",ngrc,0,30,12.487305679626232,False,0.010651537063621081
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",esn300,0,7,2.913704658579454,True,17.72750206568373
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",esn300,1,7,2.913704658579454,True,13.052290379367676
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",esn300,2,6,2.4974611359252465,False,0.00898450750802745
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",elm300,0,19,7.908626930429947,False,0.018171540760309326
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",elm300,1,17,7.076139885121531,False,0.015821442268171376
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",elm300,2,17,7.076139885121531,False,0.009398079358136326
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",qrc_rich,0,21,8.741113975738362,False,0.012416384448173815
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",qrc_rich,1,17,7.076139885121531,False,0.021648678545495605
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",qrc_rich,2,17,7.076139885121531,False,0.010930538166278599
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",ngrc,0,34,14.065645163602477,False,0.018184292816375628
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",esn300,0,8,3.309563567906465,True,15.840610513235813
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",esn300,1,9,3.723259013894773,True,20.00303334113717
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",esn300,2,8,3.309563567906465,True,23.10189934886869
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",elm300,0,15,6.205431689824622,False,0.019781358352335132
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",elm300,1,15,6.205431689824622,False,0.01409636422751994
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",elm300,2,15,6.205431689824622,False,0.01717879253489891
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",qrc_rich,0,8,3.309563567906465,False,0.02242948269531479
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",qrc_rich,1,8,3.309563567906465,False,0.027948840651962983
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",qrc_rich,2,8,3.309563567906465,False,0.021369526006679698
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",ngrc,0,30,13.074863793374801,False,0.015767000561436602
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",esn300,0,12,5.22994551734992,False,0.02517548184846162
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",esn300,1,20,8.716575862249867,False,0.018477726378783706
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",esn300,2,8,3.4866303448999467,False,0.01679631920221826
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",elm300,0,17,7.409089482912387,False,0.022110699879423247
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",elm300,1,18,7.844918276024881,False,0.018847982461317983
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",elm300,2,18,7.844918276024881,False,0.016272521111437815
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",qrc_rich,0,12,5.22994551734992,False,0.023429422880706253
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",qrc_rich,1,11,4.794116724237427,False,0.016407758306814457
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",qrc_rich,2,11,4.794116724237427,False,0.013611088761527411
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",ngrc,0,31,13.173197725038657,False,0.013585998958522512
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",esn300,0,14,5.949186069372296,False,0.01740386551478819
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",esn300,1,10,4.249418620980212,False,0.01658472221857287
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",esn300,2,9,3.8244767588821906,False,0.009793210904529401
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",elm300,0,19,8.073895379862403,False,0.007953562147128942
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",elm300,1,17,7.22401165566636,False,0.02655861481681778
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",elm300,2,14,5.949186069372296,False,0.021131639606800007
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",qrc_rich,0,10,4.249418620980212,False,0.012098041837604835
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",qrc_rich,1,10,4.249418620980212,False,0.008062389180862413
