system,ic_index,ic,model,seed,nrmse,n_features
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",esn300,0,0.010876829449219055,300
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",esn300,1,0.010772664025015472,300
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",esn300,2,0.010263361386419334,300
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",elm300,0,0.0003046367663267794,300
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",elm300,1,0.00038286940364522275,300
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",elm300,2,0.0003677173823906299,300
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",qrc_rich,0,0.004918933356889629,96
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",qrc_rich,1,0.00524920545226976,96
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",qrc_rich,2,0.0050523276537002195,96
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",ngrc,0,1.4854117242933194e-06,21
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",esn300,0,0.009990366772802378,300
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",esn300,1,0.010064109713533184,300
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",esn300,2,0.00929306221224728,300
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",elm300,0,0.00028245799032870057,300
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",elm300,1,0.0002900471778002543,300
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",elm300,2,0.00031673074633186386,300
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",qrc_rich,0,0.004586880831700629,96
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",qrc_rich,1,0.00486360625704184,96
henon,19,"{'x0': 0.33004772980174557, 'y0': -0.2073233513631361}",qrc_rich,2,0.004701156854175196,96
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",ngrc,0,0.0014491622596240962,56
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",esn300,0,0.02733379334640523,300
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",esn300,1,0.022302815232223994,300
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",esn300,2,0.018170887488404945,300
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",elm300,0,0.0005638278554065606,300
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",elm300,1,0.0004652242463789715,300
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",elm300,2,0.0004560259693989169,300
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",qrc_rich,0,0.010427765488159232,96
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",qrc_rich,1,0.01567023248216725,96
lorenz,0,"{'s0': (np.float64(1.002460306714965), np.float64(1.5974910750169398), np.float64(0.45172428927556485))}",qrc_rich,2,0.011426149155472645,96
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",ngrc,0,0.0019961968251350757,56
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",esn300,0,0.0547050194088073,300
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",esn300,1,0.031397952484421746,300
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",esn300,2,0.03419650430001948,300
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",elm300,0,0.0009274852528006779,300
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",elm300,1,0.000951001285619521,300
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",elm300,2,0.0008363828942948186,300
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",qrc_rich,0,0.010659535781379308,96
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",qrc_rich,1,0.02023751337526083,96
lorenz,1,"{'s0': (np.float64(-0.7811836775145484), np.float64(0.0906584296565549), np.float64(-0.9832931099929247))}",qrc_rich,2,0.013143752532036205,96
lorenz,2,"{'s0': (np.float64(1.120287205194877), np.float64(3.680430491109067), np.float64(0.01558696289734074))}",ngrc,0,0.0015566654314529344,56
