phase,system,model,seed,tau,gamma,beta,val_nrmse,test_nrmse,n_features
grid4,lorenz,dqrc4,4,10.0,0.02,1e-12,0.020018259498937745,0.02532318232009048,48
grid4,lorenz,dqrc4,4,10.0,0.05,1e-12,0.01348246834711549,0.016725494002274764,48
grid4,lorenz,dqrc4,4,10.0,0.1,1e-12,0.01033697361174227,0.014109916486727823,48
grid4,lorenz,dqrc4,4,10.0,0.2,1e-12,0.005805273661680785,0.008022114039827992,48
ctrl4,lorenz,elmF,4,,,1e-06,0.002851882059667142,0.003499670335514324,48
ctrl4,lorenz,esnF,4,,,1e-06,0.09778035087071212,0.10967929690642153,48
ctrl4,lorenz,ngrc,4,,,1e-06,0.0015374000700548393,0.0018550941268273865,56
grid4,mackeyglass,dqrc4,0,1.0,0.0,1e-12,0.028803863663336933,0.033776792816013104,48
grid4,mackeyglass,dqrc4,0,1.0,0.02,1e-12,0.028400401517441127,0.0296305473956846,48
grid4,mackeyglass,dqrc4,0,1.0,0.05,1e-12,0.022149183545456003,0.023317000352112472,48
grid4,mackeyglass,dqrc4,0,1.0,0.1,1e-12,0.01182295354013665,0.012817506422017394,48
grid4,mackeyglass,dqrc4,0,1.0,0.2,1e-12,0.008221436828088746,0.008596509757835909,48
grid4,mackeyglass,dqrc4,0,4.0,0.0,1e-12,0.01599485203860061,0.01655141291408993,48
grid4,mackeyglass,dqrc4,0,4.0,0.02,1e-12,0.006400150518080701,0.0068342610235418684,48
grid4,mackeyglass,dqrc4,0,4.0,0.05,1e-12,0.004640037747365231,0.005175378520824218,48
grid4,mackeyglass,dqrc4,0,4.0,0.1,1e-12,0.0039438835094098654,0.004354710201134422,48
grid4,mackeyglass,dqrc4,0,4.0,0.2,1e-12,0.0037848681446761368,0.004091722363729217,48
grid4,mackeyglass,dqrc4,0,10.0,0.0,1e-12,0.01927583964134183,0.019909878046644743,48
grid4,mackeyglass,dqrc4,0,10.0,0.02,1e-12,0.0075286139652030225,0.008269134290116855,48
grid4,mackeyglass,dqrc4,0,10.0,0.05,1e-12,0.004707172543686162,0.005248055815118012,48
grid4,mackeyglass,dqrc4,0,10.0,0.1,1e-12,0.0029078269275407166,0.003314163578744591,48
grid4,mackeyglass,dqrc4,0,10.0,0.2,1e-12,0.0027464173820271336,0.003029808146486875,48
ctrl4,mackeyglass,elmF,0,,,1e-06,0.0018844217814879263,0.0021559085310872985,48
ctrl4,mackeyglass,esnF,0,,,1e-06,0.017686506659126775,0.017435190229938526,48
ctrl4,mackeyglass,ngrc,0,,,1e-06,0.001997581283302922,0.0022945731514897754,21
grid4,mackeyglass,dqrc4,1,1.0,0.0,1e-12,0.026866465202360225,0.02607931005195306,48
grid4,mackeyglass,dqrc4,1,1.0,0.02,1e-12,0.019803087068605642,0.020530628618975585,48
grid4,mackeyglass,dqrc4,1,1.0,0.05,1e-12,0.02236866261702491,0.02241494377990373,48
grid4,mackeyglass,dqrc4,1,1.0,0.1,1e-12,0.010190741386086779,0.010198937425343228,48
grid4,mackeyglass,dqrc4,1,1.0,0.2,1e-12,0.006432856387278363,0.007266381909944519,48
grid4,mackeyglass,dqrc4,1,4.0,0.0,1e-12,0.007970268447400718,0.008433994341173954,48
grid4,mackeyglass,dqrc4,1,4.0,0.02,1e-12,0.0039345859509469505,0.004424681670295211,48
grid4,mackeyglass,dqrc4,1,4.0,0.05,1e-12,0.003638298236381073,0.003942126860860271,48
grid4,mackeyglass,dqrc4,1,4.0,0.1,1e-12,0.0025410914431247514,0.0027080525028995673,48
