family,sr,leak,inp,gamma,tau,seed,val_cap,test_cap,test_cap_d15
dqrc4,,,,0.1,4.0,1,4.905835895797929,4.832057998877083,4.782629910733029
dqrc4,,,,0.1,4.0,2,4.543284248988283,4.519211646054338,4.488293977579672
dqrc4,,,,0.1,10.0,0,5.8520550814383965,5.850294275126439,5.816120549786839
dqrc4,,,,0.1,10.0,1,4.306106147970391,4.297880436876991,4.266290377952837
dqrc4,,,,0.1,10.0,2,4.164993887755524,4.252523825797697,4.222445493422451
dqrc4,,,,0.2,1.0,0,3.558530754349126,3.341266141982486,3.298288607983391
dqrc4,,,,0.2,1.0,1,2.93301471068021,2.8253410960412557,2.801125567230029
dqrc4,,,,0.2,1.0,2,3.790693596319427,3.779168958070585,3.764894316244247
dqrc4,,,,0.2,4.0,0,4.613198628777005,4.743690151958799,4.723394246267846
dqrc4,,,,0.2,4.0,1,4.202496275671236,4.30336790775371,4.248943152989213
dqrc4,,,,0.2,4.0,2,3.7628028304421113,3.7661184352047696,3.725984086645666
dqrc4,,,,0.2,10.0,0,4.477887913988513,4.568301557034264,4.544197963167225
dqrc4,,,,0.2,10.0,1,3.8123366374829453,3.927488261080981,3.8698481547278094
dqrc4,,,,0.2,10.0,2,3.8046167690946406,3.8011439427906595,3.7786835464085025
dqrc4,,,,0.3,1.0,0,2.971126245218372,2.886128045824994,2.849781439161549
dqrc4,,,,0.3,1.0,1,2.557045403776905,2.379707397797391,2.35695269931202
dqrc4,,,,0.3,1.0,2,3.391818062035026,3.4280857759758305,3.4148795084382297
dqrc4,,,,0.3,4.0,0,4.221692891569907,4.291167876733114,4.276602307484899
dqrc4,,,,0.3,4.0,1,3.8057935500545366,3.872801978188308,3.8323006439186447
dqrc4,,,,0.3,4.0,2,3.1169122478539815,3.1037505986982166,3.077479097318781
dqrc4,,,,0.3,10.0,0,3.864650374544537,3.8962243989825205,3.871902709085332
dqrc4,,,,0.3,10.0,1,3.610226316166017,3.7187744942171497,3.661613874733833
dqrc4,,,,0.3,10.0,2,3.4502023112508082,3.542236664463424,3.5147069438185827
dqrc4,,,,0.5,1.0,0,2.083198949245669,2.0498441717436116,2.007646357512616
