system,n_qubits_eq,model,seed,nrmse,n_features,n_points,n_qubits,V,window,shots,readout,ngrc_degree
henon,6,qrc,5,0.004378407841028437,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,6,0.0045962329957464024,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,7,0.004381493300321305,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,8,0.004539405946158211,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,9,0.00441134231848793,96,1500,6,4,5,exact,Z+X+Y+ZZ,
lorenz,6,ngrc,0,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,1,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,2,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,3,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,4,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,5,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,6,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,7,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,8,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,9,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,10,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,11,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,12,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,13,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,14,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,15,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,16,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,17,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,18,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,ngrc,19,0.0018550941268273865,56,1500,,,5,,,3
lorenz,6,elmF,0,0.0012875339316352431,96,1500,,,5,,,
lorenz,6,elmF,1,0.0011456805711253187,96,1500,,,5,,,
lorenz,6,elmF,2,0.0019463460068099797,96,1500,,,5,,,
lorenz,6,elmF,3,0.0017822918164724464,96,1500,,,5,,,
lorenz,6,elmF,4,0.0017445997042213417,96,1500,,,5,,,
lorenz,6,elmF,5,0.001569402278112636,96,1500,,,5,,,
lorenz,6,elmF,6,0.0015626231841989852,96,1500,,,5,,,
lorenz,6,elmF,7,0.001534986153927121,96,1500,,,5,,,
lorenz,6,elmF,8,0.0012929762982263986,96,1500,,,5,,,
lorenz,6,elmF,9,0.0017900411898937366,96,1500,,,5,,,
lorenz,6,elmF,10,0.0016736050881973625,96,1500,,,5,,,
lorenz,6,elmF,11,0.0014983066085495881,96,1500,,,5,,,
lorenz,6,elmF,12,0.0015374665285998188,96,1500,,,5,,,
lorenz,6,elmF,13,0.00166363121625198,96,1500,,,5,,,
lorenz,6,elmF,14,0.0011373891921351719,96,1500,,,5,,,
lorenz,6,elmF,15,0.0012841442831015384,96,1500,,,5,,,
lorenz,6,elmF,16,0.0012189272778153916,96,1500,,,5,,,
lorenz,6,elmF,17,0.0015862968519562617,96,1500,,,5,,,
