system,n,comparison,seed,dm_stat,p
mackeyglass,8,qrc_vs_ngrc,3,11.099945878121687,2.4140319396177648e-23
mackeyglass,8,qrc_vs_esnF,4,-7.67632464075643,4.215657370993515e-13
mackeyglass,8,qrc_vs_elmF,4,13.293928603778598,1.5659265771243524e-30
mackeyglass,8,qrc_vs_ngrc,4,12.511684456926194,6.14818181244915e-28
mackeyglass,8,qrc_vs_esnF,5,-10.409941670323963,3.7107168192244676e-21
mackeyglass,8,qrc_vs_elmF,5,13.569339958864587,1.8878891014904879e-31
mackeyglass,8,qrc_vs_ngrc,5,13.090416511175503,7.448286017365e-30
mackeyglass,8,qrc_vs_esnF,6,-8.205129786674485,1.450076803945461e-14
mackeyglass,8,qrc_vs_elmF,6,10.634377654791633,7.300062151934383e-22
mackeyglass,8,qrc_vs_ngrc,6,9.478306243971064,2.7465129670978425e-18
mackeyglass,8,qrc_vs_esnF,7,-11.352946432643186,3.715768700958442e-24
mackeyglass,8,qrc_vs_elmF,7,12.271420075551745,3.7991337960310876e-27
mackeyglass,8,qrc_vs_ngrc,7,11.550109448045642,8.573030933150305e-25
mackeyglass,8,qrc_vs_esnF,8,-10.375478980214686,4.757900459075958e-21
mackeyglass,8,qrc_vs_elmF,8,11.167639017469742,1.464959890195429e-23
mackeyglass,8,qrc_vs_ngrc,8,10.114955841451444,3.0851092664362796e-20
mackeyglass,8,qrc_vs_esnF,9,-9.224341727163122,1.5900111079787003e-17
mackeyglass,8,qrc_vs_elmF,9,11.633603981803764,4.597528101332393e-25
mackeyglass,8,qrc_vs_ngrc,9,10.979243999884249,5.868478755097144e-23
mackeyglass,10,qrc_vs_esnF,0,-7.955870078070466,1.2112388507085773e-12
mackeyglass,10,qrc_vs_elmF,0,7.160452935868608,7.429587004582553e-11
mackeyglass,10,qrc_vs_ngrc,0,5.867044456781358,4.147034666015012e-08
mackeyglass,10,qrc_vs_esnF,1,-8.830233200101361,1.1517167151598795e-14
mackeyglass,10,qrc_vs_elmF,1,7.292172728334105,3.7948002789136675e-11
mackeyglass,10,qrc_vs_ngrc,1,6.199958702388807,8.589721754921626e-09
mackeyglass,10,qrc_vs_esnF,2,-6.7039223542099045,7.357438967158158e-10
mackeyglass,10,qrc_vs_elmF,2,7.261598979279695,4.436899385129432e-11
mackeyglass,10,qrc_vs_ngrc,2,5.862998623291688,4.226041756679756e-08
mackeyglass,10,qrc_vs_esnF,3,-6.151076568053704,1.085170920296822e-08
mackeyglass,10,qrc_vs_elmF,3,6.693500861156082,7.747377594705196e-10
mackeyglass,10,qrc_vs_ngrc,3,5.5668622558773615,1.6518857334196978e-07
mackeyglass,10,qrc_vs_esnF,4,-7.262999429654856,4.4052642831434117e-11
mackeyglass,10,qrc_vs_elmF,4,7.368279953500446,2.5690049207010992e-11
mackeyglass,10,qrc_vs_ngrc,4,6.173762491461343,9.737113868080814e-09
