model_key,model_name,group,kind,deterministic,system,seed,cfg_system,cfg_n_points,cfg_seed,cfg_scaler,cfg_scaler_scope,cfg_split_fracs,cfg_washout,cfg_horizon,cfg_lookback,cfg_stride,cfg_windowing,cfg_alpha,cfg_encode_scale,status,n_features,n_params,feature_rank,n_train,n_test,nrmse,rmse,mae,mse,r2,smape,max_error
elm,ELM,reservoir,random nonlinear projection + ridge,False,lorenz,1,lorenz,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,152.0,799,299,0.005858091824785405,0.001256786949887439,0.0010168001247395292,1.579513437407372e-06,0.9999656827601724,0.9655642672796444,0.0033638898618476853
elm,ELM,reservoir,random nonlinear projection + ridge,False,lorenz,2,lorenz,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,149.0,799,299,0.00591766253180469,0.0012695671673057874,0.0010265249537483984,1.611800792300841e-06,0.9999649812701596,0.8042975683565358,0.0035072374486967706
elm,ELM,reservoir,random nonlinear projection + ridge,False,lorenz,3,lorenz,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,147.0,799,299,0.006137156433096103,0.0013166570865104994,0.0010585239184047173,1.733585883458317e-06,0.9999623353109157,0.9397519084240318,0.0034892291171621237
elm,ELM,reservoir,random nonlinear projection + ridge,False,lorenz,4,lorenz,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,148.0,799,299,0.0060510596760971,0.001298186006872218,0.0010368169050766983,1.6852869084388344e-06,0.9999633846767964,0.804257476285036,0.003760457375491133
elm,ELM,reservoir,random nonlinear projection + ridge,False,mackeyglass,0,mackeyglass,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,149.0,799,299,0.008818182607645688,0.002049480799374904,0.0015352138208492507,4.200371547006397e-06,0.9999222396554982,0.3050265555538557,0.006407458588417958
elm,ELM,reservoir,random nonlinear projection + ridge,False,mackeyglass,1,mackeyglass,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,151.0,799,299,0.008869001400696599,0.002061291865808814,0.0015460353664548856,4.248924156049581e-06,0.9999213408141544,0.3071975770353207,0.0063934503940046294
elm,ELM,reservoir,random nonlinear projection + ridge,False,mackeyglass,2,mackeyglass,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,148.0,799,299,0.008863251939026128,0.0020599556027912896,0.0015517565769744195,4.2434170854712255e-06,0.9999214427650653,0.30793702980826887,0.006355468640476092
elm,ELM,reservoir,random nonlinear projection + ridge,False,mackeyglass,3,mackeyglass,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,148.0,799,299,0.0088201954078894,0.0020499486050028905,0.0015373987909557097,4.2022892831532975e-06,0.9999222041529666,0.30368023723584353,0.0063658403539901265
elm,ELM,reservoir,random nonlinear projection + ridge,False,mackeyglass,4,mackeyglass,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,147.0,799,299,0.008802587986238121,0.0020458563703320515,0.0015310494378802308,4.185528288028237e-06,0.9999225144447446,0.3034429454204418,0.006431950079371029
esn,ESN,reservoir,random recurrent reservoir + ridge readout,False,henon,0,henon,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,300.0,799,299,0.009142857425584414,0.0026508986449326213,0.0020946926461167764,7.0272636257056065e-06,0.9999164081580955,2.045013519442518,0.01017997782167343
esn,ESN,reservoir,random recurrent reservoir + ridge readout,False,henon,1,henon,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,300.0,799,299,0.00876289819209652,0.0025407324933349644,0.0020539530867196634,6.455321602688106e-06,0.999923211615275,1.450945740504172,0.007643328614414718
esn,ESN,reservoir,random recurrent reservoir + ridge readout,False,henon,2,henon,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,300.0,799,299,0.008664016095330058,0.0025120624174358474,0.0020185112832072564,6.310457589093635e-06,0.9999249348250998,1.3623933302435436,0.007232893621450576
esn,ESN,reservoir,random recurrent reservoir + ridge readout,False,henon,3,henon,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,300.0,799,299,0.00947816957138218,0.0027481197292773692,0.002219705798811983,7.55216204644352e-06,0.9999101643015761,2.211782853191707,0.009905975949686313
