experiment,system,n,V,readout,vs,seed,dm_stat,p
readout,lorenz,6,4,delay3,elmF_same,4,9.105749818288539,1.2746872604705024e-17
readout,lorenz,6,4,delay3,ngrc,4,8.919723364477703,4.8351279995440227e-17
readout,lorenz,6,4,delay3+poly2,qrc_base,0,-8.71134978094421,2.1137043791181876e-16
readout,lorenz,6,4,delay3+poly2,elmF_same,0,7.464684940117882,9.247468092268155e-13
readout,lorenz,6,4,delay3+poly2,ngrc,0,-7.686759328299157,2.203513468424243e-13
readout,lorenz,6,4,delay3+poly2,qrc_base,1,-12.387942072245893,1.0370587141033108e-28
readout,lorenz,6,4,delay3+poly2,elmF_same,1,10.230942823258996,2.97459903690467e-21
readout,lorenz,6,4,delay3+poly2,ngrc,1,-5.408942422966571,1.3030670420128885e-07
readout,lorenz,6,4,delay3+poly2,qrc_base,2,-9.845590312879976,5.507387489842457e-20
readout,lorenz,6,4,delay3+poly2,elmF_same,2,9.23506757685896,5.001409740197413e-18
readout,lorenz,6,4,delay3+poly2,ngrc,2,-7.178795329144512,5.6266782755840326e-12
readout,lorenz,6,4,delay3+poly2,qrc_base,3,-9.414454709661678,1.3503342604142629e-18
readout,lorenz,6,4,delay3+poly2,elmF_same,3,7.968377955093529,3.440116047715108e-14
readout,lorenz,6,4,delay3+poly2,ngrc,3,-7.741157534026422,1.5443649875933896e-13
readout,lorenz,6,4,delay3+poly2,qrc_base,4,-8.780051754757128,1.3024632969499262e-16
readout,lorenz,6,4,delay3+poly2,elmF_same,4,8.19651178577839,7.41443507776212e-15
readout,lorenz,6,4,delay3+poly2,ngrc,4,-8.235157510446019,5.7022049220396615e-15
readout,lorenz,8,4,poly2sq,qrc_base,0,-7.100849021992285,1.4223575191673868e-11
readout,lorenz,8,4,poly2sq,elmF_same,0,6.576366492411615,3.02839026159433e-10
readout,lorenz,8,4,poly2sq,ngrc,0,4.043016801161478,7.129705718038237e-05
readout,lorenz,8,4,poly2sq,qrc_base,1,-7.692956043918027,3.7990086436843745e-13
readout,lorenz,8,4,poly2sq,elmF_same,1,6.329514465703153,1.2117128945636917e-09
readout,lorenz,8,4,poly2sq,ngrc,1,5.549603486637806,7.613334682554392e-08
readout,lorenz,8,4,poly2sq,qrc_base,2,-6.651990858404686,1.966617986421228e-10
readout,lorenz,8,4,poly2sq,elmF_same,2,6.868691777721624,5.6087720165443896e-11
readout,lorenz,8,4,poly2sq,ngrc,2,3.4309750155479506,0.0007089189708203748
readout,lorenz,8,4,poly2sq,qrc_base,3,-7.088958539213169,1.52695066324848e-11
readout,lorenz,8,4,poly2sq,elmF_same,3,6.5515252942478455,3.487346373077113e-10
readout,lorenz,8,4,poly2sq,ngrc,3,2.2443284825056917,0.025730970554047366
readout,lorenz,8,4,poly2sq,qrc_base,4,-6.726775240185225,1.2792389256428915e-10
readout,lorenz,8,4,poly2sq,elmF_same,4,6.972901147085085,3.040385322892114e-11
readout,lorenz,8,4,poly2sq,ngrc,4,3.7830359922045753,0.0001960507947284302
readout,lorenz,8,4,poly2int,qrc_base,0,-7.237780158089019,6.2496904409657345e-12
readout,lorenz,8,4,poly2int,elmF_same,0,7.4976649443499745,1.2787879032248168e-12
readout,lorenz,8,4,poly2int,ngrc,0,-5.786589475813022,2.2521073985484324e-08
readout,lorenz,8,4,poly2int,qrc_base,1,-8.06661973218961,3.5471250680315464e-14
readout,lorenz,8,4,poly2int,elmF_same,1,7.67963145310491,4.129368663206999e-13
readout,lorenz,8,4,poly2int,ngrc,1,-5.403040287601805,1.5877954497267293e-07
readout,lorenz,8,4,poly2int,qrc_base,2,-6.806939184476605,8.04018183575627e-11
readout,lorenz,8,4,poly2int,elmF_same,2,7.730456069007997,3.003041495495319e-13
readout,lorenz,8,4,poly2int,ngrc,2,-5.698129770888001,3.563470783742383e-08
readout,lorenz,8,4,poly2int,qrc_base,3,-7.213493654645881,7.236127808431149e-12
readout,lorenz,8,4,poly2int,elmF_same,3,7.793554858664755,2.0188997273661536e-13
readout,lorenz,8,4,poly2int,ngrc,3,-5.968867308734401,8.613998921001446e-09
readout,lorenz,8,4,poly2int,qrc_base,4,-6.927256875316738,3.978509970452422e-11
readout,lorenz,8,4,poly2int,elmF_same,4,7.5980878624295975,6.866194658465037e-13
readout,lorenz,8,4,poly2int,ngrc,4,-5.926710500980438,1.0777931385802075e-08
readout,lorenz,8,4,delay3,qrc_base,0,-5.891771685461119,1.2966977604750231e-08
readout,lorenz,8,4,delay3,elmF_same,0,6.83486599175821,6.833569888357353e-11
readout,lorenz,8,4,delay3,ngrc,0,6.704838852123336,1.4516945657315657e-10
readout,lorenz,8,4,delay3,qrc_base,1,-6.9179161611423154,4.2030223461066365e-11
readout,lorenz,8,4,delay3,elmF_same,1,7.001821256152212,2.56260781162891e-11
readout,lorenz,8,4,delay3,ngrc,1,6.903653858734186,4.570101602090569e-11
readout,lorenz,8,4,delay3,qrc_base,2,-5.364850107217072,1.9184949829575605e-07
readout,lorenz,8,4,delay3,elmF_same,2,6.718037095702502,1.3453761559905478e-10
readout,lorenz,8,4,delay3,ngrc,2,6.553993710557102,3.43884237896936e-10
readout,lorenz,8,4,delay3,qrc_base,3,-6.070775158848802,4.988419959621086e-09
