experiment,system,n,V,model,readout,seed,nrmse,n_features,n_points
readout,mackeyglass,6,4,qrc,delay3,1,0.0024135467486235784,288,1500
readout,mackeyglass,6,4,qrc,delay3,2,0.002211397857755292,288,1500
readout,mackeyglass,6,4,qrc,delay3,3,0.002154852510503956,288,1500
readout,mackeyglass,6,4,qrc,delay3,4,0.0020093249417136015,288,1500
readout,mackeyglass,6,4,elmF,delay3,0,0.0011007849416061538,288,1500
readout,mackeyglass,6,4,elmF,delay3,1,0.001087977190669811,288,1500
readout,mackeyglass,6,4,elmF,delay3,2,0.001114795621612209,288,1500
readout,mackeyglass,6,4,elmF,delay3,3,0.001097299047760508,288,1500
readout,mackeyglass,6,4,elmF,delay3,4,0.0010591027953629584,288,1500
readout,mackeyglass,6,4,qrc,delay3+poly2,0,0.0019645396932464546,576,1500
readout,mackeyglass,6,4,qrc,delay3+poly2,1,0.002021349689059858,576,1500
readout,mackeyglass,6,4,qrc,delay3+poly2,2,0.0018452852880934097,576,1500
readout,mackeyglass,6,4,qrc,delay3+poly2,3,0.001882277696530485,576,1500
readout,mackeyglass,6,4,qrc,delay3+poly2,4,0.0017059676802349336,576,1500
readout,mackeyglass,6,4,elmF,delay3+poly2,0,0.0009685617854313659,576,1500
readout,mackeyglass,6,4,elmF,delay3+poly2,1,0.0009564883789642532,576,1500
readout,mackeyglass,6,4,elmF,delay3+poly2,2,0.0009817947400810626,576,1500
readout,mackeyglass,6,4,elmF,delay3+poly2,3,0.0009514657201487085,576,1500
readout,mackeyglass,6,4,elmF,delay3+poly2,4,0.0009342074939862955,576,1500
readout,mackeyglass,6,4,ngrc,base,0,0.0022945731514897754,21,1500
readout,mackeyglass,6,4,ngrc,base,1,0.0022945731514897754,21,1500
readout,mackeyglass,6,4,ngrc,base,2,0.0022945731514897754,21,1500
readout,mackeyglass,6,4,ngrc,base,3,0.0022945731514897754,21,1500
readout,mackeyglass,6,4,ngrc,base,4,0.0022945731514897754,21,1500
readout,mackeyglass,8,4,qrc,base,0,0.00395125003904408,128,1200
readout,mackeyglass,8,4,qrc,base,1,0.004306650688635121,128,1200
readout,mackeyglass,8,4,qrc,base,2,0.0038715698105875086,128,1200
readout,mackeyglass,8,4,qrc,base,3,0.004090923768489629,128,1200
readout,mackeyglass,8,4,qrc,base,4,0.004270412764614637,128,1200
readout,mackeyglass,8,4,elmF,base,0,0.0014332502421150332,128,1200
readout,mackeyglass,8,4,elmF,base,1,0.0014714051784500384,128,1200
readout,mackeyglass,8,4,elmF,base,2,0.001447678472214813,128,1200
readout,mackeyglass,8,4,elmF,base,3,0.001443604567113081,128,1200
readout,mackeyglass,8,4,elmF,base,4,0.001392314962095769,128,1200
readout,mackeyglass,8,4,qrc,poly2sq,0,0.003706822195910038,256,1200
readout,mackeyglass,8,4,qrc,poly2sq,1,0.004135953082447405,256,1200
readout,mackeyglass,8,4,qrc,poly2sq,2,0.0038479800248987727,256,1200
readout,mackeyglass,8,4,qrc,poly2sq,3,0.003624899563520606,256,1200
readout,mackeyglass,8,4,qrc,poly2sq,4,0.0039554194368637595,256,1200
readout,mackeyglass,8,4,elmF,poly2sq,0,0.001239408582481514,256,1200
readout,mackeyglass,8,4,elmF,poly2sq,1,0.0013020480350737025,256,1200
readout,mackeyglass,8,4,elmF,poly2sq,2,0.0012099529785755542,256,1200
readout,mackeyglass,8,4,elmF,poly2sq,3,0.0012313983949222948,256,1200
readout,mackeyglass,8,4,elmF,poly2sq,4,0.001167890891104784,256,1200
readout,mackeyglass,8,4,qrc,poly2int,0,0.001852816953704328,8384,1200
readout,mackeyglass,8,4,qrc,poly2int,1,0.0024206786056334625,8384,1200
readout,mackeyglass,8,4,qrc,poly2int,2,0.0023395689941805996,8384,1200
readout,mackeyglass,8,4,qrc,poly2int,3,0.0020439010116657854,8384,1200
readout,mackeyglass,8,4,qrc,poly2int,4,0.0020105435295938497,8384,1200
readout,mackeyglass,8,4,elmF,poly2int,0,0.0011354120282555816,8384,1200
readout,mackeyglass,8,4,elmF,poly2int,1,0.0011076463884481908,8384,1200
readout,mackeyglass,8,4,elmF,poly2int,2,0.001146471347675577,8384,1200
readout,mackeyglass,8,4,elmF,poly2int,3,0.0011032678808845027,8384,1200
readout,mackeyglass,8,4,elmF,poly2int,4,0.001120544219081051,8384,1200
readout,mackeyglass,8,4,qrc,delay3,0,0.0021567635876545226,384,1200
readout,mackeyglass,8,4,qrc,delay3,1,0.0023801480963498694,384,1200
readout,mackeyglass,8,4,qrc,delay3,2,0.0018284052656398926,384,1200
readout,mackeyglass,8,4,qrc,delay3,3,0.0017388664825731843,384,1200
readout,mackeyglass,8,4,qrc,delay3,4,0.001878975627218058,384,1200
readout,mackeyglass,8,4,elmF,delay3,0,0.0007952722847260182,384,1200
readout,mackeyglass,8,4,elmF,delay3,1,0.0007587517118089708,384,1200
readout,mackeyglass,8,4,elmF,delay3,2,0.0007666459071017916,384,1200
readout,mackeyglass,8,4,elmF,delay3,3,0.0007789244797511994,384,1200
readout,mackeyglass,8,4,elmF,delay3,4,0.0007443156702943199,384,1200
readout,mackeyglass,8,4,qrc,delay3+poly2,0,0.0015999680642763683,768,1200
readout,mackeyglass,8,4,qrc,delay3+poly2,1,0.0018845419329159962,768,1200
readout,mackeyglass,8,4,qrc,delay3+poly2,2,0.0016630302495199646,768,1200
readout,mackeyglass,8,4,qrc,delay3+poly2,3,0.0014257168676593763,768,1200
readout,mackeyglass,8,4,qrc,delay3+poly2,4,0.001567594924713706,768,1200
readout,mackeyglass,8,4,elmF,delay3+poly2,0,0.0006714244620061474,768,1200
readout,mackeyglass,8,4,elmF,delay3+poly2,1,0.0006581471071170494,768,1200
readout,mackeyglass,8,4,elmF,delay3+poly2,2,0.0006593495908381507,768,1200
readout,mackeyglass,8,4,elmF,delay3+poly2,3,0.0006872262361508355,768,1200
readout,mackeyglass,8,4,elmF,delay3+poly2,4,0.000661513017071953,768,1200
readout,mackeyglass,8,4,ngrc,base,0,0.0017847997672215063,21,1200
readout,mackeyglass,8,4,ngrc,base,1,0.0017847997672215063,21,1200
readout,mackeyglass,8,4,ngrc,base,2,0.0017847997672215063,21,1200
readout,mackeyglass,8,4,ngrc,base,3,0.0017847997672215063,21,1200
readout,mackeyglass,8,4,ngrc,base,4,0.0017847997672215063,21,1200
vsweep,henon,6,4,qrc,base,0,0.004389400700799065,96,1500
vsweep,henon,6,4,qrc,base,1,0.004567031618203596,96,1500
vsweep,henon,6,4,qrc,base,2,0.004426614544408188,96,1500
vsweep,henon,6,4,qrc,base,3,0.004386217051341267,96,1500
vsweep,henon,6,4,qrc,base,4,0.004386843810593769,96,1500
vsweep,henon,6,4,elmF,base,0,0.0009013203987858825,96,1500
vsweep,henon,6,4,elmF,base,1,0.0009924495624707235,96,1500
vsweep,henon,6,4,elmF,base,2,0.001062053440559153,96,1500
vsweep,henon,6,4,elmF,base,3,0.0010353686496456507,96,1500
vsweep,henon,6,4,elmF,base,4,0.000989774291212548,96,1500
vsweep,henon,6,8,qrc,base,0,0.004143273034648556,192,1500
vsweep,henon,6,8,qrc,base,1,0.004447506940374697,192,1500
vsweep,henon,6,8,qrc,base,2,0.004319053441364489,192,1500
vsweep,henon,6,8,qrc,base,3,0.004332281034182012,192,1500
vsweep,henon,6,8,qrc,base,4,0.004119939986110986,192,1500
vsweep,henon,6,8,elmF,base,0,0.0002861112796512687,192,1500
vsweep,henon,6,8,elmF,base,1,0.0003902775853978018,192,1500
vsweep,henon,6,8,elmF,base,2,0.000469164762131588,192,1500
vsweep,henon,6,8,elmF,base,3,0.0003311295578156646,192,1500
vsweep,henon,6,8,elmF,base,4,0.0004238457056276899,192,1500
vsweep,henon,6,16,qrc,base,0,0.00412773853437519,384,1500
vsweep,henon,6,16,qrc,base,1,0.004432155265462347,384,1500
vsweep,henon,6,16,qrc,base,2,0.004297481790024582,384,1500
vsweep,henon,6,16,qrc,base,3,0.0042871806766423045,384,1500
vsweep,henon,6,16,qrc,base,4,0.004108723728933808,384,1500
vsweep,henon,6,16,elmF,base,0,0.00017064804051958516,384,1500
vsweep,henon,6,16,elmF,base,1,0.000183962949017928,384,1500
vsweep,henon,6,16,elmF,base,2,0.0001776401353291299,384,1500
vsweep,henon,6,16,elmF,base,3,0.00022459735018070485,384,1500
vsweep,henon,6,16,elmF,base,4,0.00021796615989392188,384,1500
vsweep,henon,6,4,ngrc,base,0,1.5867011999559015e-06,21,1500
vsweep,henon,6,4,ngrc,base,1,1.5867011999559015e-06,21,1500
vsweep,henon,6,4,ngrc,base,2,1.5867011999559015e-06,21,1500
vsweep,henon,6,4,ngrc,base,3,1.5867011999559015e-06,21,1500
vsweep,henon,6,4,ngrc,base,4,1.5867011999559015e-06,21,1500
vsweep,lorenz,6,4,qrc,base,0,0.01327462181321126,96,1500
vsweep,lorenz,6,4,qrc,base,1,0.02547991976453791,96,1500
vsweep,lorenz,6,4,qrc,base,2,0.016617888865756113,96,1500
